Time,Vehicle,Speed,Plate,Violation,Image
1781654785,Car,40.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781654785.jpg
1781654821,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781654821.jpg
1781654840,Truck,40.8,Unknown,Overspeed,violation_images/Overspeed_Truck_1781654840.jpg
1781654849,Car,42.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781654849.jpg
1781654878,Car,42.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781654878.jpg
1781654880,Car,40.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781654880.jpg
1781654922,Truck,41.8,Unknown,Overspeed,violation_images/Overspeed_Truck_1781654922.jpg
1781654950,Car,43.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781654950.jpg
1781654950,Truck,42.2,Unknown,Overspeed,violation_images/Overspeed_Truck_1781654950.jpg
1781654959,Car,45.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781654959.jpg
1781654973,Car,40.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781654973.jpg
1781655009,Car,40.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781655009.jpg
1781655026,Car,53.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781655026.jpg
1781655030,Car,48.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781655030.jpg
1781655088,Truck,46.2,Unknown,Overspeed,violation_images/Overspeed_Truck_1781655088.jpg
1781655092,Car,42.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781655092.jpg
1781655098,Car,42.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781655098.jpg
1781655098,Car,49.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781655098.jpg
1781655099,Car,53.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781655099.jpg
1781655107,Car,45.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781655107.jpg
1781655109,Car,52.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781655109.jpg
1781655121,Car,55.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781655121.jpg
1781655123,Car,48.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781655123.jpg
1781655157,Car,44.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781655157.jpg
1781655178,Truck,48.3,Unknown,Overspeed,violation_images/Overspeed_Truck_1781655178.jpg
1781655213,Car,41.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781655213.jpg
1781655228,Car,61.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781655228.jpg
1781655255,Car,40.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781655255.jpg
1781655256,Car,42.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781655256.jpg
1781655266,Bus,43.8,Unknown,Overspeed,violation_images/Overspeed_Bus_1781655266.jpg
1781655328,Car,41.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781655328.jpg
1781655332,Car,20.1,Unknown,Lane Change,violation_images/Lane Change_Car_1781655332.jpg
1781655350,Car,42.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781655350.jpg
1781655350,Car,45.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781655350.jpg
1781655394,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781655394.jpg
1781655409,Car,40.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781655409.jpg
1781655420,CNG/Auto/Bike,40.3,Unknown,Overspeed,violation_images/Overspeed_CNG/Auto/Bike_1781655420.jpg
1781655469,Truck,44.9,Unknown,Overspeed,violation_images/Overspeed_Truck_1781655469.jpg
1781655473,Truck,45.0,Unknown,Overspeed,violation_images/Overspeed_Truck_1781655473.jpg
1781655475,Car,9.8,Unknown,Lane Change,violation_images/Lane Change_Car_1781655475.jpg
1781655504,Bus,43.4,Unknown,Overspeed,violation_images/Overspeed_Bus_1781655504.jpg
1781655518,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781655518.jpg
1781655538,Bus,41.7,Unknown,Overspeed,violation_images/Overspeed_Bus_1781655538.jpg
1781655544,Truck,53.7,Unknown,Overspeed,violation_images/Overspeed_Truck_1781655544.jpg
